iter	Logloss
0	0.6879539749
1	0.6830759142
2	0.6784427423
3	0.6735510309
4	0.668763693
5	0.6636503568
6	0.6592966952
7	0.6548449876
8	0.6500315904
9	0.6456253647
10	0.6414239149
11	0.6370889547
12	0.6327869294
13	0.6287188448
14	0.6264304561
15	0.6230466562
16	0.6195165864
17	0.6152273782
18	0.612091673
19	0.6081752474
20	0.604647125
21	0.6012019338
22	0.5975862254
23	0.5942361495
24	0.5909754467
25	0.5880256679
26	0.5849944961
27	0.5814832541
28	0.5781376533
29	0.5750384845
30	0.5720610615
31	0.5688269733
32	0.5660683387
33	0.5635119034
34	0.560340802
35	0.5571367336
36	0.5540577159
37	0.5511186288
38	0.5486114436
39	0.5463303512
40	0.5437157746
41	0.5410930219
42	0.5385091827
43	0.5366576379
44	0.534614652
45	0.5321049905
46	0.5299241089
47	0.5277509369
48	0.5251091398
49	0.5226916817
50	0.520150841
51	0.5180960796
52	0.5170609612
53	0.5150501243
54	0.5127784785
55	0.5114176515
56	0.5100653345
57	0.5082720296
58	0.5062926689
59	0.5044306472
60	0.5024536298
61	0.5007720587
62	0.4991011975
63	0.4978186501
64	0.4970064057
65	0.4945021928
66	0.4925636778
67	0.4906892686
68	0.4891201301
69	0.4875124103
70	0.4856815944
71	0.4840334684
72	0.4821219649
73	0.4803299737
74	0.4785016801
75	0.4768824445
76	0.4752907367
77	0.4738083404
78	0.4724348751
79	0.4710587422
80	0.4696374703
81	0.4686469009
82	0.4672565763
83	0.4657089967
84	0.4642102741
85	0.4625364244
86	0.4614379395
87	0.4605924176
88	0.4592192561
89	0.4580602455
90	0.4565296347
91	0.4555754895
92	0.454367175
93	0.4533926762
94	0.4518154988
95	0.4506406643
96	0.449746163
97	0.4489853685
98	0.4480541629
99	0.4474099487
100	0.4465559779
101	0.4450981105
102	0.4437497505
103	0.4426438128
104	0.4419249401
105	0.4409708158
106	0.4396491659
107	0.4388224664
108	0.4384936147
109	0.4378353665
110	0.436619169
111	0.4357720163
112	0.4347522307
113	0.4337816574
114	0.4322639322
115	0.4311760057
116	0.4300816778
117	0.4294654144
118	0.42896834
119	0.4286139565
120	0.4277550259
121	0.4269756613
122	0.4260015317
123	0.4250445614
124	0.4239761714
125	0.4232873812
126	0.4223609649
127	0.4216259501
128	0.4207822019
129	0.4195301619
130	0.4185445666
131	0.417678444
132	0.4164869376
133	0.4159778003
134	0.4152099237
135	0.4142604401
136	0.413318815
137	0.4122044096
138	0.4113271114
139	0.4105456912
140	0.4095520506
141	0.4089850374
142	0.408281045
143	0.4077084577
144	0.4070659431
145	0.4059420898
146	0.4049934817
147	0.4043717696
148	0.403313452
149	0.4024169889
150	0.4019371776
151	0.4011967159
152	0.4004956917
153	0.3997741655
154	0.3986417948
155	0.3982499748
156	0.3978145917
157	0.3972950913
158	0.3966104335
159	0.3960420705
160	0.3954589319
161	0.3946496978
162	0.3936262532
163	0.3932505585
164	0.3928545255
165	0.3920115958
166	0.3916534442
167	0.390931403
168	0.3900575236
169	0.3892359069
170	0.3884850107
171	0.3878377878
172	0.3870171789
173	0.386645181
174	0.3860997745
175	0.3852333406
176	0.3848273834
177	0.3844265755
178	0.3838984793
179	0.3833405968
180	0.3830648244
181	0.3827401638
182	0.3820648416
183	0.3816972657
184	0.3812254651
185	0.3807907126
186	0.3804057486
187	0.3800618592
188	0.3795768344
189	0.379079853
